task_id,prompt,sequence_similarity,edit_distance_score,jaccard_similarity,cosine_similarity_score,sorensen_dice_coefficient,hamming_distance_score,longest_common_subsequence,UnifiedDiff,TreeDiff,pass_rate_0,pass_rate_1,pass_rate_2,pass_rate_3
HumanEval/0,"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
",0.9995263655512471,0.9981084474231922,1.0,1.0,1.0,0.7279040404040403,0.982956932271677,0.6,0.6,100.0,100.0,100.0,100.0
HumanEval/1,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
",0.830127359772375,0.5529715762273901,0.5665047233468287,0.45761817966023594,0.989135921885766,0.4056847545219638,0.23624953857512,0.4903225806451613,0.5049180327868853,100.0,100.0,75.0,0.0
HumanEval/2,"

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
",0.9095238095238095,0.7654320987654321,0.7727272727272728,0.8558678290873224,0.9851190476190476,0.7844254510921177,0.7369420702754036,0.6,0.6,100.0,100.0,100.0,100.0
HumanEval/3,"from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
",0.8857763330779003,0.7305094305352414,0.7384138328748215,0.7595312670266102,0.9840142095914742,0.45845593507126675,0.3776458554398845,0.5157894736842106,0.5304347826086957,100.0,100.0,100.0,100.0
HumanEval/4,"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
",0.8056097032028413,0.4888106096895459,0.6006446472548167,0.7267728876987642,0.9732349514958211,0.25937533601059876,0.27858094783162274,0.4962962962962963,0.55,100.0,100.0,100.0,100.0
HumanEval/5,"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
",0.971931645442054,0.9073821073821073,0.914620840152755,0.945781717457808,0.9988700564971751,0.6013381513381514,0.8383493383493383,0.5555555555555556,0.5290322580645161,100.0,100.0,100.0,100.0
HumanEval/6,"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
",0.8844833778703519,0.6858846918489067,0.8640350877192983,0.48995108580859803,0.996664639394876,0.31544068919814444,0.18157720344599074,0.3942857142857143,0.4507462686567164,100.0,0.0,100.0,0.0
HumanEval/7,"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
",0.8501529051987768,0.6087719298245614,0.6747967479674797,0.7406098416718945,0.9570494864612512,0.5982456140350877,0.5157894736842105,0.6,0.6,100.0,100.0,100.0,100.0
HumanEval/8,"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
",0.9856206309561854,0.9447887172734136,0.9559139784946237,0.9816380704890518,0.9987345367218029,0.482346127221343,0.67830418301302,0.5555555555555556,0.5878787878787879,100.0,100.0,80.0,100.0
HumanEval/9,"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
",0.9364058266959966,0.8154287065689855,0.8336523125996811,0.7201012306599467,0.9987385682749922,0.485711962988419,0.5907769100300398,0.47407407407407404,0.4958333333333334,100.0,100.0,100.0,100.0
