task_id,prompt,pass_rate_0,pass_rate_1,pass_rate_2,pass_rate_3,pass_rate_4,pass_rate_5,sequence_similarity,edit_distance_score,jaccard_similarity,cosine_similarity_score,sorensen_dice_coefficient,hamming_distance_score,UnifiedDiff,TreeDiff
HumanEval/0,"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
",100.0,100.0,100.0,100.0,100.0,100.0,0.8969360243137503,0.7315689981096408,0.7838113160232407,0.8975283205700997,0.9822412296590324,0.651039697542533,0.4787644787644788,0.5946843853820598
HumanEval/1,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
",100.0,0.0,100.0,100.0,100.0,100.0,0.8155692870260751,0.5074899395087551,0.5082129422668048,0.5980213477100597,0.9920970455415518,0.3110605253480773,0.5924369747899159,0.6428571428571429
HumanEval/2,"

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
",100.0,100.0,100.0,100.0,100.0,100.0,0.9687224669603524,0.9046979865771811,0.8956521739130435,0.9587007489521703,0.989399293286219,0.8845637583892618,0.7142857142857143,0.7142857142857143
HumanEval/3,"from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
",100.0,100.0,100.0,100.0,100.0,100.0,0.9933014354066986,0.9740740740740741,0.9724137931034482,0.9197861702124698,1.0,0.8092592592592591,0.7142857142857143,0.7142857142857143
HumanEval/4,"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
",100.0,100.0,100.0,100.0,100.0,100.0,0.7965051085829081,0.4439278042881577,0.5319111452220746,0.7246923273416883,0.9698109796973053,0.3833921310884342,0.6296296296296297,0.6785714285714286
HumanEval/5,"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
",100.0,100.0,100.0,100.0,100.0,100.0,0.9299489532364833,0.8249203504579847,0.7980562874708824,0.868526840544885,0.9907411048504173,0.752831541218638,0.6071428571428571,0.6227106227106228
HumanEval/6,"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
",100.0,100.0,100.0,100.0,100.0,100.0,0.8843490309589302,0.7030490896208164,0.8459709880762514,0.6596574226533308,0.9949683639491568,0.37307293882568315,0.4321428571428572,0.5769230769230769
HumanEval/7,"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
",100.0,100.0,100.0,100.0,100.0,100.0,0.9934430897465767,0.9753465943339361,0.9714285714285713,0.9551738200257557,0.9995771670190274,0.9340767530640948,0.7142857142857143,0.7142857142857143
HumanEval/8,"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
",100.0,100.0,100.0,100.0,100.0,100.0,0.9713950048059626,0.9015049713604524,0.94406051464875,0.9390737285372003,0.9998196573489629,0.7372856688851213,0.6785714285714286,0.7142857142857143
HumanEval/9,"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
",0.0,0.0,100.0,100.0,0.0,100.0,0.8902687457968345,0.7095524590925822,0.6960831970265933,0.6654735294293694,0.9821146542944634,0.5655687037187995,0.6521739130434783,0.6612244897959184
HumanEval/10,"

def is_palindrome(string: str) -> bool:
    """""" Test if given string is a palindrome """"""
    return string == string[::-1]


def make_palindrome(string: str) -> str:
    """""" Find the shortest palindrome that begins with a supplied string.
    Algorithm idea is simple:
    - Find the longest postfix of supplied string that is a palindrome.
    - Append to the end of the string reverse of a string prefix that comes before the palindromic suffix.
    >>> make_palindrome('')
    ''
    >>> make_palindrome('cat')
    'catac'
    >>> make_palindrome('cata')
    'catac'
    """"""
",100.0,60.0,100.0,100.0,100.0,60.0,0.9316310496943133,0.7940775514131332,0.8594611528822057,0.9479231559560105,0.9908325050930493,0.504988631126911,0.6344537815126051,0.6808510638297872
HumanEval/11,"from typing import List


def string_xor(a: str, b: str) -> str:
    """""" Input are two strings a and b consisting only of 1s and 0s.
    Perform binary XOR on these inputs and return result also as a string.
    >>> string_xor('010', '110')
    '100'
    """"""
",100.0,100.0,100.0,100.0,100.0,100.0,0.8993062688288272,0.7281663890359542,0.7321724496926654,0.7624061881484399,0.9749873516248296,0.6722364983234549,0.6428571428571429,0.6748768472906403
HumanEval/12,"from typing import List, Optional


def longest(strings: List[str]) -> Optional[str]:
    """""" Out of list of strings, return the longest one. Return the first one in case of multiple
    strings of the same length. Return None in case the input list is empty.
    >>> longest([])

    >>> longest(['a', 'b', 'c'])
    'a'
    >>> longest(['a', 'bb', 'ccc'])
    'ccc'
    """"""
",100.0,100.0,100.0,100.0,100.0,100.0,0.914273911959097,0.7854997363862319,0.7998338870431894,0.8321295890303666,0.9881494884152883,0.7468735407094976,0.6836734693877551,0.6870748299319728
HumanEval/13,"

def greatest_common_divisor(a: int, b: int) -> int:
    """""" Return a greatest common divisor of two integers a and b
    >>> greatest_common_divisor(3, 5)
    1
    >>> greatest_common_divisor(25, 15)
    5
    """"""
",100.0,100.0,100.0,100.0,100.0,100.0,0.9552278820375335,0.8762962962962962,0.9,0.9360478481465542,0.9942857142857143,0.8837037037037037,0.7142857142857143,0.7142857142857143
HumanEval/14,"from typing import List


def all_prefixes(string: str) -> List[str]:
    """""" Return list of all prefixes from shortest to longest of the input string
    >>> all_prefixes('abc')
    ['a', 'ab', 'abc']
    """"""
",100.0,100.0,100.0,100.0,100.0,100.0,0.9882397021105651,0.9576208178438662,0.9702439024390245,0.9831111898515997,0.9950476190476192,0.9137546468401487,0.7142857142857143,0.7142857142857143
HumanEval/15,"

def string_sequence(n: int) -> str:
    """""" Return a string containing space-delimited numbers starting from 0 upto n inclusive.
    >>> string_sequence(0)
    '0'
    >>> string_sequence(5)
    '0 1 2 3 4 5'
    """"""
",100.0,100.0,100.0,100.0,100.0,100.0,0.9516104585070103,0.8687059695958471,0.7779271708683473,0.9290699031583818,0.984583964688056,0.8504263997033741,0.7142857142857143,0.7142857142857143
HumanEval/16,"

def count_distinct_characters(string: str) -> int:
    """""" Given a string, find out how many distinct characters (regardless of case) does it consist of
    >>> count_distinct_characters('xyzXYZ')
    3
    >>> count_distinct_characters('Jerry')
    4
    """"""
",100.0,100.0,100.0,100.0,100.0,100.0,0.9246013071895425,0.8035040431266847,0.8191919191919192,0.8894620417890667,0.9845944227450267,0.6351752021563343,0.6785714285714286,0.6904761904761906
HumanEval/17,"from typing import List


def parse_music(music_string: str) -> List[int]:
    """""" Input to this function is a string representing musical notes in a special ASCII format.
    Your task is to parse this string and return list of integers corresponding to how many beats does each
    not last.

    Here is a legend:
    'o' - whole note, lasts four beats
    'o|' - half note, lasts two beats
    '.|' - quater note, lasts one beat

    >>> parse_music('o o| .| o| o| .| .| .| .| o o')
    [4, 2, 1, 2, 2, 1, 1, 1, 1, 4, 4]
    """"""
",100.0,100.0,100.0,100.0,40.0,100.0,0.8116765717739426,0.5201906389041693,0.5898183015022813,0.6134718114046445,0.9826240390364127,0.46852422473207633,0.5,0.6302521008403362
