task_id,prompt,sequence_similarity,edit_distance_score,jaccard_similarity,cosine_similarity_score,sorensen_dice_coefficient,hamming_distance_score,longest_common_subsequence,UnifiedDiff,TreeDiff,pass_rate_0,pass_rate_1,pass_rate_2,pass_rate_3,pass_rate_4,pass_rate_5
HumanEval/0,"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
",0.9769465416979998,0.9417654721103845,0.9575814536340852,0.9745483848812555,0.9994291151284491,0.19840581443665828,0.7424672420564529,0.6177606177606177,0.6511627906976745,100.0,100.0,100.0,100.0,100.0,100.0
HumanEval/1,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
",0.8441741596492844,0.5718093613391619,0.6220455147848933,0.49404071802906885,0.9932755377065821,0.34465294807548774,0.25599122152326115,0.5576036866359447,0.639344262295082,100.0,0.0,100.0,100.0,100.0,100.0
HumanEval/2,"

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
",0.8210806347217467,0.5302886502643316,0.553050505050505,0.6965701751089112,0.9715214199343583,0.4104080606948172,0.2976980784458746,0.7142857142857143,0.7142857142857143,100.0,100.0,100.0,100.0,100.0,100.0
HumanEval/3,"from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
",0.8445675576659918,0.590264116575592,0.6540543959519292,0.5377442572701892,0.9831689495822351,0.40604735883424403,0.31017607771706135,0.5714285714285714,0.5714285714285714,100.0,66.66666666666666,100.0,100.0,100.0,100.0
HumanEval/4,"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
",0.9486345903771131,0.8642611683848797,0.878125,0.9402113904609282,0.9904590459045904,0.8628865979381443,0.8309278350515464,0.7142857142857143,0.7142857142857143,100.0,100.0,100.0,100.0,100.0,100.0
HumanEval/5,"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
",0.897700471926037,0.7061392301063333,0.7751111333786106,0.8023151904020314,0.9896030547029888,0.42931920425333014,0.4785488358845525,0.5873015873015872,0.5576036866359447,100.0,100.0,100.0,100.0,100.0,0.0
HumanEval/6,"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
",0.8859945380441581,0.6889857984708239,0.851396878688278,0.6178929090274715,0.9966170150133392,0.285359527423274,0.19935156088558253,0.489795918367347,0.5778251599147122,100.0,0.0,0.0,100.0,100.0,0.0
HumanEval/7,"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
",0.9309786100783193,0.7870790851474236,0.8766666666666667,0.9265844397702377,0.9860622070696851,0.6418737944337283,0.6453485808762744,0.6842105263157895,0.6984126984126985,100.0,100.0,100.0,100.0,100.0,100.0
HumanEval/8,"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
",0.8957932626417117,0.7200189261362162,0.7935351089588378,0.8029101468277776,0.9921671851961837,0.5916997225895103,0.5091636203365223,0.6050420168067226,0.5421245421245421,100.0,100.0,100.0,40.0,100.0,100.0
HumanEval/9,"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
",0.9251789401464858,0.7873898724017291,0.8269446735962163,0.7022955151682675,0.9982569732916483,0.2647785260866491,0.558526612315281,0.5238095238095238,0.5595238095238095,100.0,100.0,100.0,100.0,100.0,100.0
